property,Available for NonDNS,Available for DNS,filter,display,display: meaning,filter: meaning,filter: is mandatory?,filter: allowed states,filter: input,filter: values
LastKnownParent,TRUE,FALSE,FALSE,TRUE,DN of the last known parent container.,,,,,
LVRRef,TRUE,FALSE,FALSE,TRUE,Low version reference (version tracking).,,,,,
ModificationType,TRUE,TRUE,FALSE,TRUE,"Type of change (add, modify, delete).",,,,,
Object Guid,TRUE,TRUE,FALSE,TRUE,Unique GUID of the object.,,,,,
OriginatingServer,TRUE,TRUE,FALSE,TRUE,DC that made the change.,,,,,
OriginatingTime,TRUE,TRUE,FALSE,TRUE,Time the change originated.,,,,,
OriginatingUsers,TRUE,TRUE,FALSE,TRUE,User(s) who triggered the change.,,,,,
OriginatingUserWorkstations,TRUE,TRUE,FALSE,TRUE,Workstations where change originated.,,,,,
Row Number,TRUE,TRUE,FALSE,TRUE,Row number in the report.,,,,,
SamAccountName,TRUE,TRUE,FALSE,TRUE,Pre-Windows 2000 logon name.,,,,,
SID,TRUE,FALSE,FALSE,TRUE,Security Identifier.,,,,,
To_BinaryBase64Value,TRUE,FALSE,FALSE,TRUE,"New binary value, Base64 encoded.",,,,,
To_IsStringValueXmlString,TRUE,FALSE,FALSE,TRUE,Whether new value is XML string.,,,,,
To_Meta_CreationTime,TRUE,FALSE,FALSE,TRUE,When this value was created.,,,,,
To_Meta_DeletionTime,TRUE,FALSE,FALSE,TRUE,When this value was deleted.,,,,,
To_Meta_HasData,TRUE,FALSE,FALSE,TRUE,Whether this field has data.,,,,,
To_Meta_LastOriginatingChangeTime,TRUE,FALSE,FALSE,TRUE,When this value last changed.,,,,,
To_Meta_LastOriginatingInvocationId,TRUE,FALSE,FALSE,TRUE,Invocation ID of the DC making the change.,,,,,
To_Meta_LocalChangeUsn,TRUE,FALSE,FALSE,TRUE,Local USN when the change happened.,,,,,
To_Meta_ObjectDn,TRUE,FALSE,FALSE,TRUE,DN after the change.,,,,,
To_Meta_ObjectGuid,TRUE,FALSE,FALSE,TRUE,GUID after the change.,,,,,
To_Meta_OriginatingChangeUsn,TRUE,FALSE,FALSE,TRUE,USN from the originating DC.,,,,,
To_Meta_OriginatingServer,TRUE,FALSE,FALSE,TRUE,Server that originated the change.,,,,,
To_Meta_Version,TRUE,FALSE,FALSE,TRUE,Version of the attribute.,,,,,
To_ResolveFlags,TRUE,FALSE,FALSE,TRUE,Flags describing resolution state.,,,,,
To_StringValue,TRUE,FALSE,FALSE,TRUE,New value as string.,,,,,
To_Syntax,TRUE,FALSE,FALSE,TRUE,Data type of new value.,,,,,
UPN,TRUE,TRUE,FALSE,TRUE,User Principal Name (user@domain).,,,,,
UserMatchCount,TRUE,TRUE,FALSE,TRUE,How many users matched this record.,,,,,
ValidUntil,TRUE,TRUE,FALSE,TRUE,When this data expires.,,,,,
Version,TRUE,TRUE,FALSE,TRUE,Version of the record.,,,,,
From_BinaryCheckSum,FALSE,TRUE,FALSE,TRUE,Checksum of previous binary data.,,,,,
From_CheckSum,FALSE,TRUE,FALSE,TRUE,General checksum of previous value.,,,,,
From_Flags,FALSE,TRUE,FALSE,TRUE,Flags on the previous record.,,,,,
From_HasData,FALSE,TRUE,FALSE,TRUE,Whether previous record had data.,,,,,
From_Name,FALSE,TRUE,FALSE,TRUE,Previous DNS record name.,,,,,
From_RawBytesBase64,FALSE,TRUE,FALSE,TRUE,Previous raw bytes Base64 encoded.,,,,,
From_Record_Type,FALSE,TRUE,FALSE,TRUE,DNS record type before change.,,,,,
From_Serial,FALSE,TRUE,FALSE,TRUE,Previous DNS serial number.,,,,,
From_TextualForm,FALSE,TRUE,FALSE,TRUE,Previous DNS value in text.,,,,,
From_TimeStamp,FALSE,TRUE,FALSE,TRUE,Timestamp of previous record.,,,,,
From_TtlSeconds,FALSE,TRUE,FALSE,TRUE,Time to live in seconds.,,,,,
From_TypeA_IPAddress,FALSE,TRUE,FALSE,TRUE,Previous A record IP.,,,,,
From_TypeHInfoIsdnTxtX25Loc_StringData,FALSE,TRUE,FALSE,TRUE,Other string data for record types.,,,,,
From_TypeMInfoRp_ErrorMailbox,FALSE,TRUE,FALSE,TRUE,MINFO record error mailbox.,,,,,
From_TypeMInfoRp_Mailbox,FALSE,TRUE,FALSE,TRUE,MINFO record mailbox.,,,,,
From_TypeMxAFSDBRt_NameExchange,FALSE,TRUE,FALSE,TRUE,MX/AFSDB exchange name.,,,,,
From_TypeMxAFSDBRt_Preference,FALSE,TRUE,FALSE,TRUE,MX preference.,,,,,
From_TypeName_Name,FALSE,TRUE,FALSE,TRUE,Record type name.,,,,,
From_TypeSoa_Expire,FALSE,TRUE,FALSE,TRUE,SOA expire value.,,,,,
From_TypeSoa_MinTtl,FALSE,TRUE,FALSE,TRUE,SOA minimum TTL.,,,,,
From_TypeSoa_PrimaryServer,FALSE,TRUE,FALSE,TRUE,SOA primary server.,,,,,
From_TypeSoa_Refresh,FALSE,TRUE,FALSE,TRUE,SOA refresh interval.,,,,,
From_TypeSoa_Retry,FALSE,TRUE,FALSE,TRUE,SOA retry interval.,,,,,
From_TypeSoa_ZoneAdministrator,FALSE,TRUE,FALSE,TRUE,SOA admin email.,,,,,
From_TypeSrv_Host,FALSE,TRUE,FALSE,TRUE,SRV host.,,,,,
From_TypeSrv_Port,FALSE,TRUE,FALSE,TRUE,SRV port.,,,,,
From_TypeSrv_Priority,FALSE,TRUE,FALSE,TRUE,SRV priority.,,,,,
From_TypeSrv_Weight,FALSE,TRUE,FALSE,TRUE,SRV weight.,,,,,
From_TypeWks_Bitmask,FALSE,TRUE,FALSE,TRUE,WKS services bitmask.,,,,,
From_TypeWks_IPAddress,FALSE,TRUE,FALSE,TRUE,WKS IP address.,,,,,
From_TypeWks_Protocol,FALSE,TRUE,FALSE,TRUE,WKS protocol.,,,,,
From_ZoneName,FALSE,TRUE,FALSE,TRUE,Previous DNS zone name.,,,,,
To_BinaryCheckSum,FALSE,TRUE,FALSE,TRUE,Checksum of new binary data.,,,,,
To_CheckSum,FALSE,TRUE,FALSE,TRUE,General checksum of new value.,,,,,
To_Flags,FALSE,TRUE,FALSE,TRUE,Flags on new record.,,,,,
To_HasData,FALSE,TRUE,FALSE,TRUE,Whether new record has data.,,,,,
To_Name,FALSE,TRUE,FALSE,TRUE,New DNS record name.,,,,,
To_RawBytesBase64,FALSE,TRUE,FALSE,TRUE,New raw bytes Base64 encoded.,,,,,
To_RecordType,FALSE,TRUE,FALSE,TRUE,DNS record type after change.,,,,,
To_Serial,FALSE,TRUE,FALSE,TRUE,New DNS serial number.,,,,,
To_TextualForm,FALSE,TRUE,FALSE,TRUE,New DNS value in text.,,,,,
To_TimeStamp,FALSE,TRUE,FALSE,TRUE,Timestamp of new record.,,,,,
To_TtlSeconds,FALSE,TRUE,FALSE,TRUE,New TTL.,,,,,
To_TypeA_IPAddress,FALSE,TRUE,FALSE,TRUE,New A record IP.,,,,,
To_TypeHInfoIsdnTxtX25Loc_StringData,FALSE,TRUE,FALSE,TRUE,Other string data for record types.,,,,,
To_TypeMInfoRp_ErrorMailbox,FALSE,TRUE,FALSE,TRUE,MINFO error mailbox.,,,,,
To_TypeMInfoRp_Mailbox,FALSE,TRUE,FALSE,TRUE,MINFO mailbox.,,,,,
To_TypeMxAFSDBRt_NameExchange,FALSE,TRUE,FALSE,TRUE,MX/AFSDB exchange name.,,,,,
To_TypeMxAFSDBRt_Preference,FALSE,TRUE,FALSE,TRUE,MX preference.,,,,,
To_TypeName_Name,FALSE,TRUE,FALSE,TRUE,Record type name.,,,,,
To_TypeSoa_Expire,FALSE,TRUE,FALSE,TRUE,SOA expire value.,,,,,
To_TypeSoa_MinTtl,FALSE,TRUE,FALSE,TRUE,SOA minimum TTL.,,,,,
To_TypeSoa_PrimaryServer,FALSE,TRUE,FALSE,TRUE,SOA primary server.,,,,,
To_TypeSoa_Refresh,FALSE,TRUE,FALSE,TRUE,SOA refresh interval.,,,,,
To_TypeSoa_Retry,FALSE,TRUE,FALSE,TRUE,SOA retry interval.,,,,,
To_TypeSoa_ZoneAdministrator,FALSE,TRUE,FALSE,TRUE,SOA admin email.,,,,,
To_TypeSrv_Host,FALSE,TRUE,FALSE,TRUE,SRV host.,,,,,
To_TypeSrv_Port,FALSE,TRUE,FALSE,TRUE,SRV port.,,,,,
To_TypeSrv_Priority,FALSE,TRUE,FALSE,TRUE,SRV priority.,,,,,
To_TypeSrv_Weight,FALSE,TRUE,FALSE,TRUE,SRV weight.,,,,,
To_TypeWks_Bitmask,FALSE,TRUE,FALSE,TRUE,WKS services bitmask.,,,,,
To_TypeWks_IPAddress,FALSE,TRUE,FALSE,TRUE,WKS IP address.,,,,,
To_TypeWks_Protocol,FALSE,TRUE,FALSE,TRUE,WKS protocol.,,,,,
To_ZoneName,FALSE,TRUE,FALSE,TRUE,New DNS zone name.,,,,,
